Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released
Athlon 1000,Thunderbird C,1,1000 MHz,Socket A,180 nm,,54 W,"Oct 31st, 2000"
Athlon 1133,Thunderbird C,1,1133 MHz,Socket A,180 nm,,63 W,"Oct 31st, 2000"
Athlon 1200,Thunderbird C,1,1200 MHz,Socket A,180 nm,,66 W,"Oct 31st, 2000"
Athlon 1200,Thunderbird B,1,1200 MHz,Socket A,180 nm,,66 W,"Oct 17th, 2000"
Athlon 1100,Thunderbird B,1,1100 MHz,Socket A,180 nm,,60 W,"Aug 14th, 2000"
Athlon 1000,Thunderbird B,1,1000 MHz,Socket A,180 nm,,54 W,"Jun 5th, 2000"
Athlon 600,Thunderbird,1,600 MHz,Socket A,180 nm,,38 W,"Jun 5th, 2000"
Athlon 650,Thunderbird,1,650 MHz,Socket A,180 nm,,38 W,"Jun 5th, 2000"
Athlon 700,Thunderbird,1,700 MHz,Socket A,180 nm,,40 W,"Jun 5th, 2000"
Athlon 750,Thunderbird,1,750 MHz,Socket A,180 nm,,43 W,"Jun 5th, 2000"
Athlon 800,Thunderbird,1,800 MHz,Socket A,180 nm,,45 W,"Jun 5th, 2000"
Athlon 850,Thunderbird,1,850 MHz,Socket A,180 nm,,47 W,"Jun 5th, 2000"
Athlon 900,Thunderbird,1,900 MHz,Socket A,180 nm,,50 W,"Jun 5th, 2000"
Athlon 950,Thunderbird,1,950 MHz,Socket A,180 nm,,52 W,"Jun 5th, 2000"
Pentium 4 1.4,Willamette,1,1400 MHz,Socket 423,180 nm,,55 W,"Nov 20th, 2000"
Pentium 4 1.5,Willamette,1,1500 MHz,Socket 423,180 nm,,58 W,"Nov 20th, 2000"
Pentium III 1133,Coppermine,1,1133 MHz,Socket 370,180 nm,,29 W,"Jul 31st, 2000"
Athlon XP 1900+,Palomino,1,1600 MHz,Socket A,180 nm,,68 W,"Nov 5th, 2001"
Athlon XP 1500+,Palomino,1,1333 MHz,Socket A,180 nm,,60 W,"Oct 9th, 2001"
Athlon XP 1600+,Palomino,1,1400 MHz,Socket A,180 nm,,63 W,"Oct 9th, 2001"
Athlon XP 1700+,Palomino,1,1467 MHz,Socket A,180 nm,,64 W,"Oct 9th, 2001"
Athlon XP 1800+,Palomino,1,1533 MHz,Socket A,180 nm,,66 W,"Oct 9th, 2001"
Athlon 1400,Thunderbird C,1,1400 MHz,Socket A,180 nm,,72 W,"Jun 6th, 2001"
Athlon 1400,Thunderbird B,1,1400 MHz,Socket A,180 nm,,72 W,"Jun 6th, 2001"
Athlon 1300,Thunderbird B,1,1300 MHz,Socket A,180 nm,,68 W,"Mar 21st, 2001"
Athlon 1333,Thunderbird C,1,1333 MHz,Socket A,180 nm,,70 W,"Mar 21st, 2001"
Athlon 64 3000+,Venice,1,2000 MHz,Socket 754,90 nm,,51 W,"Jan 1st, 2001"
Athlon 64 3000+,Venice,1,2000 MHz,Socket 754,90 nm,,51 W,"Jan 1st, 2001"
Athlon 64 3200+,Venice,1,2.2 GHz,Socket 754,90 nm,,59 W,"Jan 1st, 2001"
Athlon 64 3200+,Clawhammer,1,2.2 GHz,Socket 754,130 nm,,89 W,"Jan 1st, 2001"
Athlon 64 3400+,Venice,1,2.4 GHz,Socket 754,90 nm,,67 W,"Jan 1st, 2001"
Athlon 64 3400+,Venice,1,2.2 GHz,Socket 939,90 nm,,67 W,"Jan 1st, 2001"
Athlon 64 3400+,Clawhammer,1,2.4 GHz,Socket 754,130 nm,,89 W,"Jan 1st, 2001"
Athlon 64 3500+,San Diego,1,2.2 GHz,Socket 939,90 nm,,67 W,"Jan 1st, 2001"
Athlon 64 4000+,Toledo,1,2.4 GHz,Socket 939,90 nm,,89 W,"Jan 1st, 2001"
Athlon 64 X2 3600+,Manchester,2,2000 MHz,Socket 939,90 nm,,89 W,"Jan 1st, 2001"
Athlon XP 1600+,Thoroughbred,1,1400 MHz,Socket A,130 nm,,49 W,"Jan 1st, 2001"
