Product Name,GPU Chip,Release Date,Bus,Memory,GPU Clock,Memory Clock,Shaders/TMUs/ROPs
Voodoo4 4500 AGP,VSA-100,"Oct 13th, 2000",AGP 4x,"32 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2
Voodoo4 4500 PCI,VSA-100,"Oct 13th, 2000",PCI,"32 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2
Voodoo4 4000 AGP,VSA-100,Never Released,AGP 4x,"16 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2
Voodoo4 4800 AGP,VSA-100,Never Released,AGP 4x,"64 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2
Voodoo4-2 4000 AGP,VSA-101,Never Released,AGP 4x,"16 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2
Voodoo4-2 4200 AGP,VSA-101,Never Released,AGP 4x,"16 MB, DDR, 128 bit",143 MHz,143 MHz,2 / 0 / 2 / 2
Voodoo4-2 4200 PCI 16 MB,VSA-101,Never Released,AGP 4x,"16 MB, DDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2
Voodoo4-2 4200 PCI 32 MB,VSA-101,Never Released,AGP 4x,"32 MB, DDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2
Voodoo4-2 4800 AGP,VSA-101,Never Released,AGP 4x,"32 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2
Voodoo5 5000 AGP,VSA-100,Never Released,AGP 4x,"16 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2
Voodoo5 5000 PCI,VSA-100,Never Released,PCI,"16 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2
Voodoo5 5500 AGP,VSA-100,"Jun 22nd, 2000",AGP 2x,"32 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2
Voodoo5 5500 PCI,VSA-100,"Jun 22nd, 2000",PCI,"32 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2
Voodoo5 6000,VSA-100,Never Released,AGP 4x,"32 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2
GameCube GPU,Flipper,"Aug 24th, 2000",IGP,"16 MB, SDR, 64 bit",162 MHz,162 MHz,4 / 1 / 4 / 4
All-In-Wonder Radeon 7200,R100,"Jul 31st, 2000",PCI,"32 MB, DDR, 128 bit",166 MHz,166 MHz,2 / 1 / 6 / 2
Fire GL2,RC1000,"Jun 1st, 2000",AGP 4x,"64 MB, DDR, 256 bit",120 MHz,120 MHz,2 / 1 / 4 / 1
Fire GL3,RC1000,"Jun 1st, 2000",AGP 4x,"128 MB, DDR, 256 bit",120 MHz,125 MHz,2 / 1 / 4 / 1
Radeon 7200,R100,"Jun 1st, 2000",AGP 4x,"32 MB, SDR, 128 bit",143 MHz,143 MHz,2 / 1 / 6 / 2
Radeon DDR MAXX,Rage 6,"Jun 1st, 2000",AGP 2x,"32 MB, DDR, 128 bit",148 MHz,148 MHz,2 / 1 / 6 / 2
Radeon SDR,Rage 6,"Jun 1st, 2000",AGP 4x,"32 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 1 / 6 / 2
Radeon SDR PCI,Rage 6,"Jun 1st, 2000",PCI,"32 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 1 / 6 / 2
Radeon 7200,R100,"Apr 1st, 2000",AGP 4x,"32 MB, DDR, 128 bit",166 MHz,166 MHz,2 / 1 / 6 / 2
Radeon 7200 64 MB,R100,"Apr 1st, 2000",AGP 4x,"64 MB, DDR, 128 bit",166 MHz,166 MHz,2 / 1 / 6 / 2
Radeon DDR,Rage 6,"Apr 1st, 2000",AGP 4x,"32 MB, DDR, 128 bit",166 MHz,166 MHz,2 / 1 / 6 / 2
i815 Graphics,Solano,2000,FSB,System Shared,133 MHz,System Shared,2 / 0 / 1 / 1
Millennium G450,Condor,Apr 2000,PCI,"32 MB, DDR, 64 bit",125 MHz,166 MHz,2 / 1 / 2 / 2
Millennium G450 LP,Condor,Apr 2000,AGP 4x,"32 MB, DDR, 64 bit",125 MHz,166 MHz,2 / 1 / 2 / 2
GeForce2 PRO,NV15,"Dec 5th, 2000",AGP 4x,"64 MB, DDR, 128 bit",200 MHz,200 MHz,4 / 0 / 8 / 4
GeForce2 Go,NV11B,"Nov 11th, 2000",AGP 4x,"64 MB, DDR, 64 bit",143 MHz,166 MHz,2 / 0 / 4 / 2
GeForce2 Go,NV11B,"Nov 11th, 2000",AGP 4x,"64 MB, DDR, 128 bit",143 MHz,166 MHz,2 / 0 / 4 / 2
GeForce2 Ultra,NV15,"Aug 14th, 2000",AGP 4x,"64 MB, DDR, 128 bit",250 MHz,230 MHz,4 / 0 / 8 / 4
Quadro2 MXR,NV11B,"Jul 25th, 2000",AGP 4x,"32 MB, SDR, 128 bit",200 MHz,183 MHz,2 / 0 / 4 / 4
Quadro2 MXR Low Profile,NV11B,"Jul 25th, 2000",AGP 4x,"32 MB, SDR, 128 bit",200 MHz,183 MHz,2 / 0 / 4 / 4
GeForce2 MX,NV11,"Jun 28th, 2000",AGP 4x,"32 MB, SDR, 128 bit",175 MHz,166 MHz,2 / 0 / 4 / 2
